MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:99578	Drd1	dopamine receptor D1	13		dopamine neurotransmitter receptor activity			IDA		J:140050 	
MGI:99578	Drd1	dopamine receptor D1	13		dopamine neurotransmitter receptor activity			ISO	P21728 	J:73065 	
MGI:99578	Drd1	dopamine receptor D1	13		dopamine neurotransmitter receptor activity, coupled via Gs			IDA		J:16494 J:21603 J:33119 	
MGI:99578	Drd1	dopamine receptor D1	13		dopamine neurotransmitter receptor activity, coupled via Gs	happens in corpus striatum		IDA		J:29045 J:65770 J:86377 	
MGI:99578	Drd1	dopamine receptor D1	13		dopamine neurotransmitter receptor activity, coupled via Gs	happens in amygdala|happens in hippocampus		IDA		J:114543 	
MGI:99578	Drd1	dopamine receptor D1	13		dopamine neurotransmitter receptor activity, coupled via Gs	happens in frontal cortex		IDA		J:109223 	
MGI:99578	Drd1	dopamine receptor D1	13		dopamine neurotransmitter receptor activity, coupled via Gs			IMP	MGI:1857158 	J:22076 J:43604 	
MGI:99578	Drd1	dopamine receptor D1	13		dopamine neurotransmitter receptor activity, coupled via Gs			IMP	MGI:2159306 	J:100026 	
MGI:99578	Drd1	dopamine receptor D1	13		dopamine neurotransmitter receptor activity, coupled via Gs			ISO	RGD:2518 	J:155856 	
MGI:99578	Drd1	dopamine receptor D1	13		dopamine neurotransmitter receptor activity, coupled via Gs			ISO	P21728 	J:164563 	
MGI:94924	Drd2	dopamine receptor D2	9		dopamine neurotransmitter receptor activity			IDA		J:140050 	
MGI:94924	Drd2	dopamine receptor D2	9		dopamine neurotransmitter receptor activity			ISO	RGD:2520 	J:155856 	
MGI:94924	Drd2	dopamine receptor D2	9		dopamine neurotransmitter receptor activity, coupled via Gi/Go			IBA	PTN001545416 	J:265628 	
MGI:94924	Drd2	dopamine receptor D2	9		dopamine neurotransmitter receptor activity, coupled via Gi/Go			IDA		J:16494 J:34152 J:65023 J:112986 	
MGI:94924	Drd2	dopamine receptor D2	9		dopamine neurotransmitter receptor activity, coupled via Gi/Go		PR:P61168-1	IDA		J:40408 J:41193 	
MGI:94924	Drd2	dopamine receptor D2	9		dopamine neurotransmitter receptor activity, coupled via Gi/Go		PR:P61168-2	IDA		J:40408 	
MGI:94924	Drd2	dopamine receptor D2	9		dopamine neurotransmitter receptor activity, coupled via Gi/Go	happens in corpus striatum		IDA		J:10932 J:86377 	
MGI:94924	Drd2	dopamine receptor D2	9		dopamine neurotransmitter receptor activity, coupled via Gi/Go	happens in corpus striatum	PR:P61168-1	IDA		J:65770 J:104036 	
