MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:2442517	Aasdh	aminoadipate-semialdehyde dehydrogenase	5		beta-alanine metabolic process			IDA		J:219985 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		gamma-aminobutyric acid biosynthetic process			ISO	RGD:620948 	J:155856 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		gamma-aminobutyric acid catabolic process			IBA	PTN000944876 	J:265628 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		gamma-aminobutyric acid metabolic process			IEA	IPR004631 	J:72247 	
MGI:2443582	Abat	4-aminobutyrate aminotransferase	16		neurotransmitter catabolic process			IEA	KW-0531 	J:60000 	
MGI:87876	Ache	acetylcholinesterase	5		acetylcholine catabolic process			IDA		J:17788 J:111571 	
MGI:87876	Ache	acetylcholinesterase	5		acetylcholine catabolic process			ISO	RGD:69313 	J:155856 	
MGI:87876	Ache	acetylcholinesterase	5		acetylcholine catabolic process			ISO	P22303 	J:164563 	
MGI:87876	Ache	acetylcholinesterase	5		acetylcholine metabolic process			ISO	RGD:69313 	J:155856 	
MGI:87876	Ache	acetylcholinesterase	5		choline metabolic process			ISO	RGD:69313 	J:155856 	
MGI:87876	Ache	acetylcholinesterase	5		neurotransmitter catabolic process			IEA	KW-0531 	J:60000 	
MGI:87883	Acp5	acid phosphatase 5, tartrate resistant	9		negative regulation of nitric oxide biosynthetic process	regulates a function/process that happens in peritoneal macrophage		IMP	MGI:2180086 	J:67213 	
MGI:87963	Agt	angiotensinogen (serpin peptidase inhibitor, clade A, member 8)	8		positive regulation of nitric oxide biosynthetic process			ISO	RGD:2069 	J:155856 	
MGI:2159437	Agtpbp1	ATP/GTP binding protein 1	13		neurotransmitter metabolic process	happens in cerebellum,has the participant Cck|happens in cerebellum,has the participant Sst|happens in telencephalon,has the participant Cck|happens in telencephalon,has the participant Sst		IMP	MGI:1856535 	J:14712 	
MGI:1329033	Agxt	alanine-glyoxylate aminotransferase	1		glycine biosynthetic process, by transamination of glyoxylate			IBA	PTN000475663 	J:265628 	
MGI:1329033	Agxt	alanine-glyoxylate aminotransferase	1		glycine biosynthetic process, by transamination of glyoxylate			ISO	RGD:2073 	J:155856 	
MGI:1329033	Agxt	alanine-glyoxylate aminotransferase	1		glycine biosynthetic process, by transamination of glyoxylate			ISO	P21549 	J:164563 	
MGI:2146052	Agxt2	alanine-glyoxylate aminotransferase 2	15		glycine biosynthetic process, by transamination of glyoxylate			ISO	Q9BYV1 	J:164563 	
MGI:2146052	Agxt2	alanine-glyoxylate aminotransferase 2	15		positive regulation of nitric oxide biosynthetic process			IBA	PTN000241043 	J:265628 	
MGI:2146052	Agxt2	alanine-glyoxylate aminotransferase 2	15		positive regulation of nitric oxide biosynthetic process			ISO	Q9BYV1 	J:164563 	
MGI:1343098	Aif1	allograft inflammatory factor 1	17		positive regulation of nitric oxide biosynthetic process			ISO	RGD:61924 	J:155856 	
MGI:87986	Akt1	thymoma viral proto-oncogene 1	12		positive regulation of nitric oxide biosynthetic process			ISO	P31749 	J:164563 	
MGI:104874	Akt2	thymoma viral proto-oncogene 2	7		positive regulation of nitric oxide biosynthetic process			ISO	RGD:2082 	J:155856 	
MGI:2441982	Aldh5a1	aldhehyde dehydrogenase family 5, subfamily A1	13		gamma-aminobutyric acid catabolic process			IMP	MGI:2180159 	J:71949 J:91856 	
MGI:2441982	Aldh5a1	aldhehyde dehydrogenase family 5, subfamily A1	13		gamma-aminobutyric acid catabolic process			ISO	P51649 	J:164563 	
MGI:2441982	Aldh5a1	aldhehyde dehydrogenase family 5, subfamily A1	13		gamma-aminobutyric acid metabolic process			IMP	MGI:2180159 	J:75773 J:109671 	
MGI:2441982	Aldh5a1	aldhehyde dehydrogenase family 5, subfamily A1	13		gamma-aminobutyric acid metabolic process	happens in brain		IMP	MGI:2180159 	J:110214 	
MGI:2441982	Aldh5a1	aldhehyde dehydrogenase family 5, subfamily A1	13		neurotransmitter catabolic process			IMP	MGI:2180159 	J:91856 	
