MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:95808	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	11		AMPA glutamate receptor activity			IBA	PTN000438080 	J:265628 	
MGI:95808	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	11		AMPA glutamate receptor activity			ISO	RGD:621531 	J:155856 	
MGI:95808	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	11		AMPA glutamate receptor activity			ISO	P42261 	J:164563 	
MGI:95808	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	11		glutamate receptor activity			IBA	PTN001826301 	J:265628 	
MGI:95808	Gria1	glutamate receptor, ionotropic, AMPA1 (alpha 1)	11		ionotropic glutamate receptor activity			ISO	RGD:621531 	J:155856 	
MGI:95809	Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	3		AMPA glutamate receptor activity			IBA	PTN000438080 	J:265628 	
MGI:95809	Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	3		AMPA glutamate receptor activity			ISO	RGD:61862 	J:155856 	
MGI:95809	Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	3		glutamate receptor activity			IBA	PTN001826301 	J:265628 	
MGI:95809	Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	3		ionotropic glutamate receptor activity			IDA		J:87180 	
MGI:95809	Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	3		ionotropic glutamate receptor activity			ISO	RGD:61862 	J:155856 	
MGI:95809	Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	3		ionotropic glutamate receptor activity			ISO	P42262 	J:164563 	
MGI:95809	Gria2	glutamate receptor, ionotropic, AMPA2 (alpha 2)	3		kainate selective glutamate receptor activity			ISO	RGD:61862 	J:155856 	
MGI:95810	Gria3	glutamate receptor, ionotropic, AMPA3 (alpha 3)	X		AMPA glutamate receptor activity			IBA	PTN000438080 	J:265628 	
MGI:95810	Gria3	glutamate receptor, ionotropic, AMPA3 (alpha 3)	X		AMPA glutamate receptor activity			ISO	RGD:70958 	J:155856 	
MGI:95810	Gria3	glutamate receptor, ionotropic, AMPA3 (alpha 3)	X		AMPA glutamate receptor activity			ISO	P42263 	J:164563 	
MGI:95810	Gria3	glutamate receptor, ionotropic, AMPA3 (alpha 3)	X		glutamate receptor activity			IBA	PTN001826301 	J:265628 	
MGI:95810	Gria3	glutamate receptor, ionotropic, AMPA3 (alpha 3)	X		ionotropic glutamate receptor activity			ISO	RGD:70958 	J:155856 	
MGI:95811	Gria4	glutamate receptor, ionotropic, AMPA4 (alpha 4)	9		AMPA glutamate receptor activity			IBA	PTN000438080 	J:265628 	
MGI:95811	Gria4	glutamate receptor, ionotropic, AMPA4 (alpha 4)	9		AMPA glutamate receptor activity			ISO	RGD:61863 	J:155856 	
MGI:95811	Gria4	glutamate receptor, ionotropic, AMPA4 (alpha 4)	9		AMPA glutamate receptor activity			ISO	P48058 	J:164563 	
MGI:95811	Gria4	glutamate receptor, ionotropic, AMPA4 (alpha 4)	9		glutamate receptor activity			IBA	PTN001826301 	J:265628 	
MGI:95811	Gria4	glutamate receptor, ionotropic, AMPA4 (alpha 4)	9		ionotropic glutamate receptor activity			ISO	RGD:61863 	J:155856 	
MGI:95812	Grid1	glutamate receptor, ionotropic, delta 1	14		glutamate receptor activity			IBA	PTN001826301 	J:265628 	
MGI:95812	Grid1	glutamate receptor, ionotropic, delta 1	14		ionotropic glutamate receptor activity			IEA	IPR001320 IPR019594 	J:72247 	
MGI:95813	Grid2	glutamate receptor, ionotropic, delta 2	6		glutamate receptor activity			IBA	PTN001826301 	J:265628 	
MGI:95813	Grid2	glutamate receptor, ionotropic, delta 2	6		ionotropic glutamate receptor activity			IEA	IPR001320 IPR019594 	J:72247 	
MGI:95814	Grik1	glutamate receptor, ionotropic, kainate 1	16		glutamate receptor activity			IBA	PTN001826301 	J:265628 	
MGI:95814	Grik1	glutamate receptor, ionotropic, kainate 1	16		ionotropic glutamate receptor activity			ISO	RGD:2732 	J:155856 	
MGI:95814	Grik1	glutamate receptor, ionotropic, kainate 1	16		kainate selective glutamate receptor activity			IBA	PTN001826307 	J:265628 	
MGI:95814	Grik1	glutamate receptor, ionotropic, kainate 1	16		kainate selective glutamate receptor activity	happens in hippocampus CA1		IDA		J:109768 	
MGI:95814	Grik1	glutamate receptor, ionotropic, kainate 1	16		kainate selective glutamate receptor activity	happens in hippocampus,happens in CNS neuron (sensu Vertebrata)		IDA		J:123244 	
MGI:95814	Grik1	glutamate receptor, ionotropic, kainate 1	16		kainate selective glutamate receptor activity	happens in accumbens nucleus,happens in CNS neuron (sensu Vertebrata)		IGI	MGI:95815 	J:97340 	
MGI:95814	Grik1	glutamate receptor, ionotropic, kainate 1	16		kainate selective glutamate receptor activity	happens in dorsal root ganglion,happens in neuron		IMP	MGI:2176347 	J:79143 	
MGI:95814	Grik1	glutamate receptor, ionotropic, kainate 1	16		kainate selective glutamate receptor activity	happens in hippocampus CA3,happens in interneuron		IMP	MGI:2176347 	J:96594 	
MGI:95814	Grik1	glutamate receptor, ionotropic, kainate 1	16		kainate selective glutamate receptor activity			ISO	RGD:2732 	J:155856 	
MGI:95814	Grik1	glutamate receptor, ionotropic, kainate 1	16		kainate selective glutamate receptor activity			ISO	P39086 	J:164563 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		glutamate receptor activity			IBA	PTN001826301 	J:265628 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		glutamate receptor activity			ISO	RGD:2733 	J:155856 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		ionotropic glutamate receptor activity			IMP		J:114811 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		kainate selective glutamate receptor activity			IBA	PTN001826307 	J:265628 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		kainate selective glutamate receptor activity			IDA		J:696 J:78109 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		kainate selective glutamate receptor activity	happens in hippocampus CA1		IDA		J:109768 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		kainate selective glutamate receptor activity	happens in accumbens nucleus,happens in CNS neuron (sensu Vertebrata)		IGI	MGI:95814 	J:97340 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		kainate selective glutamate receptor activity			IGI	MGI:95818 	J:696 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		kainate selective glutamate receptor activity	happens in spinal cord dorsal horn,happens in neuron		IMP		J:79143 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		kainate selective glutamate receptor activity			IMP	MGI:1857979 	J:79143 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		kainate selective glutamate receptor activity	happens in corpus striatum,happens in GABAergic neuron		IMP	MGI:1857979 	J:60965 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		kainate selective glutamate receptor activity	happens in hippocampus CA1,happens in pyramidal neuron		IMP	MGI:1857979 	J:52041 	
MGI:95815	Grik2	glutamate receptor, ionotropic, kainate 2 (beta 2)	10		kainate selective glutamate receptor activity	happens in hippocampus CA3		IMP	MGI:1857979 	J:96594 	
